"Story","Title","Result","Date","Stability","Duration (s)"
"AddUser","Sign in with valid username and password (authorized)","FAILURE","2022-10-23T15:37:45.3479884+07:00[Asia/Jakarta]","0.0","7.22"
"AddUser","Sign in with null username and password (authorized)","SUCCESS","2022-10-23T15:37:52.5813062+07:00[Asia/Jakarta]","0.0","2.5"
"AddUser","Sign in with username and invalid password (authorized)","SUCCESS","2022-10-23T15:37:55.1007239+07:00[Asia/Jakarta]","0.0","1.19"
"AddUser","Sign in with existing username and password (authorized)","SUCCESS","2022-10-23T15:37:56.2996615+07:00[Asia/Jakarta]","0.0","0.02"
"Authorized","Sign in with valid username and password","SUCCESS","2022-10-23T15:37:45.68189+07:00[Asia/Jakarta]","0.0","6.66"
"Authorized","Sign in with invalid username and password","SUCCESS","2022-10-23T15:37:52.3662861+07:00[Asia/Jakarta]","0.0","2.72"
"Authorized","Sign in with null username and password","SUCCESS","2022-10-23T15:37:55.1266867+07:00[Asia/Jakarta]","0.0","0.07"
"Generate Token","Generate token with registered username and password","SUCCESS","2022-10-23T15:37:45.6595032+07:00[Asia/Jakarta]","0.0","7.76"
"Generate Token","Generate token with unregistered username and password","SUCCESS","2022-10-23T15:37:53.4314709+07:00[Asia/Jakarta]","0.0","2.25"
